Apfel	Adam	5	0
Bauer	Bo	5	0
Chlodewig	Christina	5	0	1
Duck	Deborah	5	0
Erpel	Emma	5	0
Fuchs	Frieda	5	0
Gustavsson	Georg	5	0
Gustavsson	Gisela	4	0
Hamster	Hans	5	0
Iltis	Ingrid	5	0
Jäger	Johanna	5	0
Kuckuck	Karl	4	0
Lämpel	Laura	5	0	1
Lämpel	Leon	5	0
Maler	Marie	4	0
Nichtig	Nils	5	0
Otter	Otto	5	0
Paulsson	Paul	5	0
Quecke	Quentin	4	0
Rolle	Raúl	5	0	1
Salzsäule	Sarah	5	0
Töpfer	Tanja	5	0
Töpfer	Tobias	5	0
Ulsson	Ulla	5	0
Vogelfänger	Vinn	4	0
Wagner	Wendy	4	0
Xi-Hu	Xavier	5	0	1
Yorkshire	Yvonne	5	0	1
Zu Zeppelin	Zacchary	5	0
