Apfel	Adam	3	0
Bauer	Bo	3	0
Chlodewig	Christina	3	0	1
Duck	Deborah	3	0
Erpel	Emma	3	0
Fuchs	Frieda	3	0
Gustavsson	Georg	3	0
Gustavsson	Gisela	3	0
Hamster	Hans	3	0
Iltis	Ingrid	3	0
Jäger	Johanna	3	0
Kuckuck	Karl	3	0
Lämpel	Laura	3	0	1
Lämpel	Leon	3	0
Maler	Marie	3	0
Nichtig	Nils	3	0
Otter	Otto	3	0
Paulsson	Paul	3	0
Quecke	Quentin	3	0
Rolle	Raúl	3	0	1
Salzsäule	Sarah	3	0
Töpfer	Tanja	3	0
Töpfer	Tobias	3	0
Ulsson	Ulla	3	0
Vogelfänger	Vinn	3	0
Wagner	Wendy	3	0
Xi-Hu	Xavier	3	0	1
Yorkshire	Yvonne	4	0	1
Zu Zeppelin	Zacchary	3	0
